id,architecture,unknown,class,ranking_effect,next_evidence
U01,portfolio,Actual EO detector window material thickness wedge coating and chief-ray interface,2,Can change camera focus ghosts and final prescription but is common to all channels,Obtain detector or integrator interface drawing and coating data
U02,portfolio,Actual SWIR dewar window cold-shield and detector package envelope,3,Blocks fair C01/C02 package and C02 camera release,Obtain dewar CAD optical window prescription cold-shield geometry mass dissipation and keep-outs
U03,portfolio,Complete detector electronics harness and thermal-control mass/envelope,2,May change fold packing CG and gimbal but mostly common content,Create one controlled common module allowance from supplier CAD
U04,portfolio,Shock vibration humidity pressure storage and life-cycle environment,3,Blocks flight structure qualification and credible complete payload mass/cost,Issue UAV environment specification and qualification philosophy
U05,portfolio,Source spectrum detector QE and allowed SNR loss near 0.80 um,3,Blocks C02 dichroic passband allocation and shared-path throughput decision,Assign system spectral budget and permissible transition loss
U06,portfolio,Production forecast and acceptance/yield philosophy,2,Can reverse NRE versus recurring economics,Replace comparison quote breaks with approved lifetime and annual quantities
U07,portfolio,Absolute image-quality and LOS stability allocations,3,Blocks tolerance release and sole-architecture commitment,Flow system performance into channel MTF WFE distortion boresight and jitter budgets
U08,C01,Four custom-mirror finished masses figure yields coating quotes and second-source availability,2,Could narrow or enlarge C01 cost and mass advantage,Send C01 budgetary RFQ package on common quantity and inspection basis
U09,C01,Common bench cells baffles and thermal-gradient CAD,3,Blocks credible complete-payload mass inertia and gimbal sizing,Concept CAD plus material thermal and support trade using real module envelopes
U10,C01,Relative boresight drift and calibration stability over environment,2,Could make common-LOS C02 preferable despite full 800 m scene overlap,Thermoelastic LOS model and calibration concept with allocated stability
U11,C01,B05-2 detector packaging benefit,1,Existing geometry shows no volume change unless rear module actually exploits 45.67 mm shorter train,Revisit only after common detector electronics CAD exists
U12,C02,Annular f/1 primary fabrication metrology finished mass support print-through yield and price,3,Could destroy C02 non-dominated mass cost and schedule status,Supplier response plus support concept and inspection plan
U13,C02,Broadband 0.43-1.80 um mirror coating durability stress and throughput,2,Could erode shared-path signal and raise qualification cost,Coater spectral environmental and stress data on representative substrates
U14,C02,Finite-width dichroic transition AOI polarization wavefront and environmental feasibility,3,Could destroy simultaneous boundary performance or force an unattractive splitter,Vendor feasibility against system-approved transition options
U15,C02,Real three-element EO and SWIR camera optical performance tolerance and thermal behavior,3,Current physical doublets fail and no complete C02 image exists,One bounded camera solve with real windows and sensitivity-aware merit
U16,C02,Physical folded branch package including dichroic cameras focusers and dewar,3,Current 79.7 L screen omits the defining branch geometry,Concept fold CAD with clearance mass CG inertia and thermal interfaces
U17,C02,Spider baffle scatter and diffraction beyond traced ideal obscuration,2,May further reduce current 70-73 percent geometric survival,Physical vane hub baffle and stray-light model after fold selection
U18,C04,Guaranteed donor figured clear aperture at least 311.371 mm and edge quality,3,Without it the retained C04 prescription has no procurable primary,Written supplier guarantee and full-aperture inspection map
U19,C04,Uncoated or qualified 0.80-1.80 um donor coating route,3,Without it recurring process warranty and throughput are undefined,Factory option or qualified stripping recoating flow with before-after metrology
U20,C04,Donor lot continuity replacement and production availability,2,Can erase the procurement hedge through concentration and obsolescence,Quantity-break quote MOQ lot controls and lifecycle policy
U21,C04,Two-element fused-silica CaF2 corrector quote tolerances and AR qualification,2,Can reduce the assumed custom-work economy but is unlikely to cure package burden,Matched-pair RFQ and tolerance support quote
U22,C04,Substantially lighter donor blank with same guaranteed clear figure,2,Only a large mass reduction plus new structure could improve the UAV case,Supplier mass/lightweight option followed by a no-optical-optimization structure screen
U23,C04,Whether clear-aperture coating and price answers alone cure the current SWaP disadvantage,1,They cannot change the preserved 1.455 m geometry or 273 L volume,Keep C04 as procurement hedge unless a materially new lightweight fold is offered
U24,portfolio,Common cells baffles focus mechanism and qualification cost model,2,Could change recurring and NRE ranking although all architectures need similar functions,Create one cost breakdown structure and quote identical work-package boundaries
